E,N,Middle
193.8445447506797,20,3
194.52890093500483,20,4
61.20083645501752,12,2
60.02215787835259,12,1
61.21375327479516,12,2
59.90388572322252,12,1
61.15124174371631,12,2
59.94286674014312,12,1
60.32062556110115,12,1
60.86951917291963,12,2
60.53677111223272,12,1
60.519276350451335,12,1
59.91988980032917,12,1
59.873253089524,12,1
59.82605073430662,12,1
73.36276111975317,13,2
73.1025755330717,13,2
72.87467408929102,13,2
72.25702201073247,13,1
59.95401277416085,12,1
61.12176059948398,12,2
60.98938714024624,12,2
59.965232611832015,12,1
60.16566874293231,12,1
60.384407793669645,12,1
59.91599202569835,12,1
61.1463758835535,12,2
72.2389947153145,13,1
73.1330925985354,13,2
73.18715353148797,13,2
72.96349861020737,13,2
72.20128685080451,13,1
74.57919528112699,13,3
73.0557611265657,13,2
72.86790888209033,13,2
86.35218178116303,14,2
86.711763840482,14,2
87.58802001292291,14,3
86.14290709580862,14,2
86.28610957848377,14,2
87.9842190505104,14,3
87.45679008409329,14,3
86.13556251222317,14,2
100.9211840293114,15,2
102.08331126652669,15,3
101.82895790205374,15,3
100.84750202505376,15,2
101.8779818564377,15,3
102.28829211694925,15,3
102.32377787583188,15,3
101.81989883644181,15,3
117.5463237385305,16,3
119.23105936483113,16,4
117.70278970324094,16,3
117.53172887378511,16,3
119.46042769867458,16,4
117.02211535151253,16,2
117.73229278546957,16,3
116.93157569546594,16,2
135.88735852990646,17,4
134.94427311608774,17,3
135.87175279811512,17,4
134.59192224646804,17,3
134.65970646410466,17,3
134.84949686341022,17,3
134.68274589483065,17,3
135.14486164863587,17,3
154.3751913028875,18,4
153.18641303499686,18,3
154.21235505424463,18,4
153.58627524095277,18,3
154.14266953983537,18,4
153.55772135150363,18,3
153.0387277229229,18,2
154.15259914854562,18,3
172.726105928164,19,3
173.54810934321395,19,4
173.60272876304768,19,4
173.6431212339339,19,4
173.57072951868074,19,4
173.507130702396,19,4
174.34898870027112,19,4
173.73725880010846,19,4
